date,
18/07/2013,26.18
19/07/2013,25.88
22/07/2013,26.04
23/07/2013,26.13
24/07/2013,26.51
25/07/2013,34.36
26/07/2013,34.01
29/07/2013,35.43
30/07/2013,37.63
31/07/2013,36.8
01/08/2013,37.49
02/08/2013,38.05
05/08/2013,39.19
06/08/2013,38.55
07/08/2013,38.87
08/08/2013,38.54
09/08/2013,38.5
12/08/2013,38.22
13/08/2013,37.02
14/08/2013,36.65
15/08/2013,36.56
16/08/2013,37.08
19/08/2013,37.81
20/08/2013,38.41
21/08/2013,38.32
22/08/2013,38.55
23/08/2013,40.55
26/08/2013,41.34
27/08/2013,39.64
28/08/2013,40.55
29/08/2013,41.28
30/08/2013,41.29
03/09/2013,41.87
04/09/2013,41.78
05/09/2013,42.66
06/09/2013,43.95
09/09/2013,44.04
10/09/2013,43.6
11/09/2013,45.04
12/09/2013,44.75
13/09/2013,44.31
16/09/2013,42.51
17/09/2013,45.07
18/09/2013,45.23
19/09/2013,45.98
20/09/2013,47.49
23/09/2013,47.19
24/09/2013,48.45
25/09/2013,49.46
26/09/2013,50.39
27/09/2013,51.24
30/09/2013,50.23
01/10/2013,50.42
02/10/2013,50.28
03/10/2013,49.18
04/10/2013,51.04
07/10/2013,50.52
08/10/2013,47.14
09/10/2013,46.77
10/10/2013,49.05
11/10/2013,49.11
14/10/2013,49.51
15/10/2013,49.5
16/10/2013,51.14
17/10/2013,52.21
18/10/2013,54.22
21/10/2013,53.85
22/10/2013,52.68
23/10/2013,51.9
24/10/2013,52.44
25/10/2013,51.95
28/10/2013,50.23
29/10/2013,49.4
30/10/2013,49.01
31/10/2013,50.2
01/11/2013,49.75
04/11/2013,48.22
05/11/2013,50.1
06/11/2013,49.12
07/11/2013,47.56
08/11/2013,47.53
11/11/2013,46.2
12/11/2013,46.6
13/11/2013,48.71
14/11/2013,48.99
15/11/2013,49.01
18/11/2013,45.83
19/11/2013,46.36
20/11/2013,46.43
21/11/2013,46.7
22/11/2013,46.23
25/11/2013,44.82
26/11/2013,45.89
27/11/2013,46.49
29/11/2013,47.01
02/12/2013,47.06
03/12/2013,46.73
04/12/2013,48.62
05/12/2013,48.34
06/12/2013,47.94
09/12/2013,48.84
10/12/2013,50.24
11/12/2013,49.38
12/12/2013,51.83
13/12/2013,53.32
16/12/2013,53.81
17/12/2013,54.86
18/12/2013,55.57
19/12/2013,55.05
20/12/2013,55.12
23/12/2013,57.77
24/12/2013,57.96
26/12/2013,57.73
27/12/2013,55.44
30/12/2013,53.71
31/12/2013,54.65
02/01/2014,54.71
03/01/2014,54.56
06/01/2014,57.2
07/01/2014,57.92
08/01/2014,58.23
09/01/2014,57.22
10/01/2014,57.94
13/01/2014,55.91
14/01/2014,57.74
15/01/2014,57.6
16/01/2014,57.19
17/01/2014,56.3
21/01/2014,58.51
22/01/2014,57.51
23/01/2014,56.63
24/01/2014,54.45
27/01/2014,53.55
28/01/2014,55.14
29/01/2014,53.53
30/01/2014,61.08
31/01/2014,62.57
03/02/2014,61.48
04/02/2014,62.75
05/02/2014,62.19
06/02/2014,62.16
07/02/2014,64.32
10/02/2014,63.55
11/02/2014,64.85
12/02/2014,64.45
13/02/2014,67.33
14/02/2014,67.09
18/02/2014,67.3
19/02/2014,68.06
20/02/2014,69.63
21/02/2014,68.59
24/02/2014,70.78
25/02/2014,69.85
26/02/2014,69.26
27/02/2014,68.94
